Heat Timestamp,Executor,Process Owner,Heat Operation ID,Heat Object ID,Heat Object Description,Heat Temp (C),Heat Time (min),Heat Dissolve,Notes,,,,,,,,,,,,,,,,
2024-03-13T12:05:00,lteresa,dasb,HT-2024-03-13T12:05:00-lteresa:02-000005at100Cfor19min,02-000005,1M PbBr2 in HBr,100,19,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-13T12:05:00,lteresa,dasb,HT-2024-03-13T12:05:00-lteresa:02-000006at100Cfor16min,02-000006,0.8M PbBr2 in HBr,100,16,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-14T12:05:00,dasb,dasb,HT-2024-03-14T12:05:00-dasb:02-000009at120Cfor5min,02-000009,1M BiBr3 in HBr,120,5,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-14T12:05:00,dasb,dasb,HT-2024-03-14T12:05:00-dasb:02-000010at120Cfor5min,02-000010,0.8M BiBr3 in HBr,120,5,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-14T12:05:00,dasb,dasb,HT-2024-03-14T12:05:00-dasb:02-000011at120Cfor5min,02-000011,0.5M BiBr3 in HBr,120,5,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-14T12:05:00,dasb,dasb,HT-2024-03-14T12:05:00-dasb:02-000012at120Cfor5min,02-000012,0.2M BiBr3 in HBr,120,5,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-15T12:05:00,dasb,dasb,HT-2024-03-15T12:05:00-dasb:02-000013at120Cfor15min,02-000013,1M BiBr3 in HBr,120,15,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-15T12:05:00,dasb,dasb,HT-2024-03-15T12:05:00-dasb:02-000014at120Cfor15min,02-000014,1M CsCH3COO in HBr,120,15,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-22T12:05:00,dasb,dasb,HT-2024-03-22T12:05:00-dasb:02-000015at120Cfor5min,02-000015,1M CsCH3COO in HBr,120,5,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-22T12:05:00,dasb,dasb,HT-2024-03-22T12:05:00-dasb:02-000016at120Cfor5min,02-000016,1M SbBr3 in HBr,120,5,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-22T12:05:00,dasb,dasb,HT-2024-03-22T12:05:00-dasb:02-000017at120Cfor5min,02-000017,0.8M SbBr3 in HBr,120,5,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-22T12:05:00,dasb,dasb,HT-2024-03-22T12:05:00-dasb:02-000018at120Cfor5min,02-000018,0.5M SbBr3 in HBr,120,5,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-22T12:05:00,dasb,dasb,HT-2024-03-22T12:05:00-dasb:02-000019at120Cfor5min,02-000019,0.2M SbBr3 in HBr,120,5,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-22T12:05:00,dasb,dasb,HT-2024-03-22T12:05:00-dasb:02-000020at120Cfor10min,02-000020,1M SbI3 in HI,120,10,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-22T12:05:00,dasb,dasb,HT-2024-03-22T12:05:00-dasb:02-000021at120Cfor10min,02-000021,0.8M SbI3 in HI,120,10,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-22T12:05:00,dasb,dasb,HT-2024-03-22T12:05:00-dasb:02-000022at120Cfor10min,02-000022,0.5M SbI3 in HI,120,10,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-22T12:05:00,dasb,dasb,HT-2024-03-22T12:05:00-dasb:02-000023at120Cfor10min,02-000023,0.2M SbI3 in HI,120,10,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-22T12:05:00,dasb,dasb,HT-2024-03-22T12:05:00-dasb:02-000024at120Cfor5min,02-000024,1M CsCH3COO in HI,120,5,N,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-22T12:05:00,dasb,dasb,HT-2024-03-22T12:05:00-dasb:02-000025at120Cfor5min,02-000025,0.8M CsCH3COO in HI,120,5,N,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-22T12:05:00,dasb,dasb,HT-2024-03-22T12:05:00-dasb:02-000026at120Cfor5min,02-000026,0.5M CsCH3COO in HI,120,5,N,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-22T12:05:00,dasb,dasb,HT-2024-03-22T12:05:00-dasb:02-000027at120Cfor5min,02-000027,0.2M CsCH3COO in HI,120,5,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-22T12:05:00,dasb,dasb,HT-2024-03-22T12:05:00-dasb:02-000028at120Cfor10min,02-000028,1M PbI2 in HI,120,10,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-22T12:05:00,dasb,dasb,HT-2024-03-22T12:05:00-dasb:02-000029at120Cfor10min,02-000029,0.8M PbI2 in HI,120,10,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-22T12:05:00,dasb,dasb,HT-2024-03-22T12:05:00-dasb:02-000030at120Cfor10min,02-000030,0.5M PbI2 in HI,120,10,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-22T12:05:00,dasb,dasb,HT-2024-03-22T12:05:00-dasb:02-000031at120Cfor10min,02-000031,0.2M PbI2 in HI,120,10,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-22T12:05:00,dasb,dasb,HT-2024-03-22T12:05:00-dasb:02-000032at120Cfor10min,02-000032,0.8M CsCH3COO in HI,120,10,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-27T12:05:00,lteresa,dasb,HT-2024-03-27T12:05:00-lteresa:02-000033at150Cfor15min,02-000033,1M CsCH3COO in HI,150,15,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-27T12:05:00,lteresa,dasb,HT-2024-03-27T12:05:00-lteresa:02-000034at150Cfor15min,02-000034,0.8M CsCH3COO in HI,150,15,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-27T12:05:00,lteresa,dasb,HT-2024-03-27T12:05:00-lteresa:02-000035at150Cfor15min,02-000035,0.5M CsCH3COO in HI,150,15,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-27T12:05:00,lteresa,dasb,HT-2024-03-27T12:05:00-lteresa:02-000036at150Cfor15min,02-000036,0.2M CsCH3COO in HI,150,15,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-27T12:05:00,lteresa,dasb,HT-2024-03-27T12:05:00-lteresa:02-000037at120Cfor10min,02-000037,0.2M SbI3 in HI,120,10,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-28T12:05:00,dasb,dasb,HT-2024-03-28T12:05:00-dasb:02-000038at120Cfor5min,02-000038,1M CsCH3COO in HBr,120,5,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-28T12:05:00,dasb,dasb,HT-2024-03-28T12:05:00-dasb:02-000039at120Cfor5min,02-000039,1M PbI2 in HBr,120,5,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-29T12:05:00,lteresa,dasb,HT-2024-03-29T12:05:00-lteresa:02-000040at120Cfor15min,02-000040,1M CsI in HI,120,15,N,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-29T12:05:00,lteresa,dasb,HT-2024-03-29T12:05:00-lteresa:02-000041at120Cfor15min,02-000041,0.8M CsI in HI,120,15,N,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-29T12:05:00,lteresa,dasb,HT-2024-03-29T12:05:00-lteresa:02-000042at120Cfor15min,02-000042,0.5M CsI in HI,120,15,N,Barely Dissolved. Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-03-29T12:05:00,lteresa,dasb,HT-2024-03-29T12:05:00-lteresa:02-000043at120Cfor15min,02-000043,0.2M CsI in HI,120,15,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-04-01T12:05:00,lteresa,dasb,HT-2024-04-01T12:05:00-lteresa:02-000040at150Cfor30min,02-000040,1M CsI in HI,150,30,N,Let cool over weeked and re-tried at higher temp.  Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-04-01T12:05:00,lteresa,dasb,HT-2024-04-01T12:05:00-lteresa:02-000044at150Cfor20min,02-000044,1M SbI3 in HI,150,20,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-04-02T12:05:00,lteresa,dasb,HT-2024-04-02T12:05:00-lteresa:02-000045at120Cfor10min,02-000045,1M RbBr in HBr,120,10,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-04-02T12:05:00,lteresa,dasb,HT-2024-04-02T12:05:00-lteresa:02-000046at120Cfor10min,02-000046,0.8M RbBr in HBr,120,10,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-04-02T12:05:00,lteresa,dasb,HT-2024-04-02T12:05:00-lteresa:02-000047at120Cfor10min,02-000047,0.5M RbBr in HBr,120,10,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-04-02T12:05:00,lteresa,dasb,HT-2024-04-02T12:05:00-lteresa:02-000048at120Cfor10min,02-000048,0.2M RbBr in HBr,120,10,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-04-05T12:05:00,lteresa,dasb,HT-2024-04-05T12:05:00-lteresa:02-000046at120Cfor15min,02-000046,0.8M RbBr in HBr,120,15,Y,02-000046 but reheated days later to be used. Timestamp Guesstimated.,,,,,,,,,,,,,,,,
2024-04-05T12:05:00,lteresa,dasb,HT-2024-04-05T12:05:00-lteresa:02-000049at120Cfor15min,02-000049,0.5M RbBr in HBr,120,15,Y,Timestamp Guesstimated.  Used immediately after heating.,,,,,,,,,,,,,,,,
2024-04-05T12:05:00,lteresa,dasb,HT-2024-04-05T12:05:00-lteresa:02-000050at120Cfor15min,02-000050,0.5M BiBr3 in HBr,120,15,Y,Timestamp Guesstimated.  Used immediately after heating.,,,,,,,,,,,,,,,,
2024-04-05T12:05:00,lteresa,dasb,HT-2024-04-05T12:05:00-lteresa:02-000051at120Cfor15min,02-000051,0.8M BiBr3 in HBr,120,15,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-04-05T12:05:00,lteresa,dasb,HT-2024-04-05T12:05:00-lteresa:02-000052at120Cfor10min,02-000052,0.5M PbBr2 in HBr,120,10,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
2024-04-05T12:05:00,lteresa,dasb,HT-2024-04-05T12:05:00-lteresa:02-000053at120Cfor10min,02-000053,0.5M SbBr3 in HBr,120,10,Y,Timestamp Guesstimated,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-13T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-13T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-13T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-13T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-13T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-13T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-15T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-15T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-22T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-22T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-22T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-22T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-22T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-22T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-22T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-22T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-22T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-22T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-22T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-22T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-22T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-22T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-22T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-22T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-22T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-22T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-27T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-27T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-27T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-27T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-27T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-28T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-28T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-29T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-29T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-29T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-29T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-02T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-02T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-02T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-02T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-05T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-05T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-05T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-05T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-05T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-05T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-05T12:05
,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-05T12:05
